date,GOOGL,MSFT,FB,ORCL,INTC,CSCO,IBM,QCOM,TXN,AVGO,NVDA,ADBE,CRM,ADP,ITW,YHOO
20140102,-0.006772,-0.006683,0.001116,-0.010977,-0.006357,-0.019171,-0.010876,-0.012525,-0.018447,-0.004331,-0.009988,-0.009837,-0.005979,-0.011621,-0.010585,-0.021019
20140103,-0.007295,-0.006728,-0.002797,-0.005814,-0.000388,-0.000909,0.005983,-0.005865,0.004408,0.003799,-0.01198,-0.002193,0.004739,0.010894,0.006611,0.013387
20140106,0.011149,-0.021132,0.048445,-0.003987,-0.012413,0.001365,-0.003429,-0.002607,-0.008316,-0.006812,0.013401,-0.017579,-0.016147,-0.011396,-0.0123,-0.004736
20140107,0.019276,0.00775,0.012587,0.010141,0.00491,0.01363,0.019946,0.007428,-0.005358,0.009602,0.016373,0.014625,0.013277,0.012154,-0.00133,0.024793
20140108,0.002083,-0.017852,0.005352,-0.003435,-0.006058,-0.000762,-0.009172,0.006008,0.013817,0.014832,0.013631,-0.001187,0.036215,-0.005323,-0.006538,0.002444
20140109,-0.00963,-0.006432,-0.017345,-0.001856,-0.004719,-0.009106,-0.003139,0.003122,-0.005313,-0.010227,-0.037286,0.003226,-0.011415,0.003485,0.000244,-0.002438
20140110,-5.3e-05,0.014354,0.012583,0.012218,0.008692,0.005885,-0.00064,-0.000541,0.001161,0.001315,-0.00127,0.007446,0.011725,-0.003473,0.004751,0.007576
20140113,-0.006371,-0.029412,-0.035036,-0.009446,-0.001175,-0.00135,-0.016554,-0.008799,-0.020181,-0.012383,-0.023522,-0.015622,-0.012994,-0.016179,-0.016491,-0.030075
20140114,0.023527,0.02287,0.032731,0.012185,0.039608,0.009914,0.009557,0.002322,0.026042,0.049962,0.03125,0.030205,0.023128,0.011385,0.013808,0.028757
20140115,-0.000679,0.02739,-0.002425,0.005234,0.006035,0.016511,0.009789,0.015261,0.004615,0.030758,0.010732,0.0217,0.038428,0.001751,0.003405,-0.001701
20140116,0.006617,0.003536,-0.007118,-0.003124,-0.004874,0.0,0.005433,0.002818,-0.003905,-0.027032,0.003123,-0.000811,-0.00854,-0.003496,0.003999,-0.017775
20140117,-0.004921,-0.013825,-0.015562,-0.002089,-0.025999,-0.001756,0.007046,0.000134,0.001845,0.012809,-0.004359,-0.004219,0.010978,0.002005,-0.002173,-0.008181
20140121,0.011447,-0.005772,0.039254,-0.002617,-0.010058,0.003958,-0.008733,0.009768,0.009206,-0.000534,0.003752,-0.008473,0.018209,0.004377,0.004476,-0.012247
20140122,0.001134,-0.006635,-0.017091,-0.003411,-0.010942,0.000438,-0.032797,0.004241,0.017332,0.018535,-0.001246,0.015119,0.003117,0.000747,-0.001927,0.0167
20140123,-0.004223,0.003479,-0.015302,0.004476,-0.007112,-0.012259,0.002634,0.001188,-0.011657,-0.019248,-0.003743,-0.014408,-0.017337,-0.013312,-0.016049,-0.019662
20140124,-0.031265,0.020802,-0.038496,-0.027261,-0.012734,-0.015957,-0.01691,-0.023593,-0.025856,-0.027832,-0.025673,-0.029402,-0.027963,-0.029504,-0.028575,-0.037573
20140127,-0.02011,-0.021057,-0.016529,-0.016707,-0.003628,-0.009009,-0.009686,-0.011879,-0.007218,-0.000734,-0.006427,-0.012354,-0.022603,-0.006106,-0.011615,-0.033237
20140128,0.019778,0.006661,0.029692,0.016717,0.007282,-0.011364,-0.005902,-0.01653,0.006098,0.004959,0.009702,0.012851,0.040119,0.006928,0.009197,0.042838
