date,AAPL,MSFT,XOM,AMZN,JNJ,JPM,GE,WFC,FB,GOOG,T,GOOGL,PG,SPY,BAC,CVX,VZ,WMT,BRK,PFE,BRK,KO,INTC,C,BUD,DIS,CMCSA,HD,MRK,IBM,ORCL,UNH,CSCO,PEP,V,PM,MO,SLB,MA,AMGN,MMM,ABBV,MCD,RY,MDT,BMY,QCOM,BA,GS,GILD,TD,IVV,UTX,CELG,WBA,HON,USB,UNP,CVS,LLY,SBUX,RAI,MS,UPS,AGN,CHTR,TWX,LMT,TXN,ACN,PCLN,UN,COST,AVGO,VTI,MDLZ,NKE,AXP,BNS,AIG,DOW,DD,COP,LOW,BIIB,BLK,CB,UBS,EFA,MET,EOG,CL,NVDA,PNC,EPD,VOO,ABT,SPG,NEE
20150102,-0.009513,0.006674,0.00411,-0.005897,-0.000478,-0.001438,-0.00831,-0.002189,0.005511,-0.003021,0.008336,-0.002092,-0.007136,-0.000535,0.000559,0.003566,0.003848,0.000233,-0.006527,0.005779,-0.006527,-0.001895,0.001929,0.002772,-0.005164,-0.004671,-0.011377,-0.014671,0.007043,0.010097,-0.014232,-0.003067,-0.00737,-0.001269,0.010755,-0.005279,-0.006089,0.003044,-0.005571,0.003767,-0.001582,0.006876,-0.004696,-0.007529,-0.004432,0.008131,-0.000673,-0.000231,0.002992,0.006896,-0.018208,-0.000677,0.000348,0.01484,-0.002625,0.003103,-0.00267,-0.004365,-0.012564,0.015509,-0.007434,-0.007002,-0.00232,-0.007106,0.006682,-0.00114,-0.005736,0.003843,0.000281,-0.005263,0.001623,-0.008197,-0.000988,-0.004971,-0.000755,0.012801,-0.011648,-0.000215,-0.021023,0.001785,-0.000439,-0.003111,-0.002027,-0.015988,0.007542,-0.002321,-0.00383,0.002346,-0.004273,-0.003328,0.001846,-0.002168,0.00399,-0.004494,0.019657,0,-0.002665,0.017737,0.003763
20150105,-0.028172,-0.009303,-0.027362,-0.020517,-0.006984,-0.031045,-0.018356,-0.027422,-0.016061,-0.020846,-0.009448,-0.019054,-0.004755,-0.01806,-0.02905,-0.039972,-0.008305,-0.00291,-0.011717,-0.005426,-0.011717,0,-0.011276,-0.031515,-0.032665,-0.014613,-0.024237,-0.02098,0.014863,-0.015735,-0.016693,-0.016471,-0.01992,-0.007518,-0.022074,-0.007529,-0.005718,-0.027081,-0.028128,-0.011883,-0.022553,-0.018819,-0.011044,-0.021153,-0.004174,-0.015628,-0.004712,-0.006926,-0.031223,0.019756,-0.02217,-0.017559,-0.01669,-0.014006,-0.019737,-0.019056,-0.024091,-0.033808,-0.009884,-0.009849,-0.019155,-0.009715,-0.031258,-0.020022,-0.006204,-0.035631,-0.019899,-0.020796,-0.015613,-0.016884,-0.038947,-0.02531,-0.011369,-0.015986,-0.017183,-0.01495,-0.0161,-0.026446,-0.021654,-0.019783,-0.030928,-0.026998,-0.047591,-0.023929,-0.015409,-0.025874,-0.01273,-0.028672,-0.023605,-0.033389,-0.060278,-0.007387,-0.01689,-0.03061,-0.065979,-0.017569,0.000223,0.004101,-0.010591
20150106,9.4E-05,-0.014571,-0.005316,-0.022833,-0.004914,-0.025929,-0.021545,-0.020865,-0.013473,-0.023177,0.00149,-0.024679,-0.004555,-0.009419,-0.029919,-0.000463,0.010092,0.007706,-0.001088,0.008344,-0.001088,0.007594,-0.018637,-0.035205,-0.00222,-0.005304,-0.013045,-0.003061,0.039283,-0.021566,-0.010323,-0.002018,-0.00037,-0.007575,-0.006444,0.008581,0.005956,-0.019556,-0.002162,-0.032217,-0.010664,-0.00495,0.001843,-0.012668,-0.005029,-0.001707,-0.014203,-0.011778,-0.020229,0.008937,-0.020929,-0.00901,-0.014144,-0.012686,0.00255,-0.002339,-0.013257,-0.020681,0.000743,0.005045,-0.008137,0.003797,-0.0288,-0.006564,-0.005922,-0.026106,-0.011293,-0.004702,-0.016431,-0.007213,-0.016053,-0.00265,0.013214,-0.022743,-0.009798,-0.006898,-0.005882,-0.021312,-0.018292,-0.014182,-0.016071,-0.011573,-0.041286,0.00227,-0.006207,-0.01554,-0.008795,-0.011446,-0.011327,-0.030321,-0.028496,-0.010506,-0.030318,-0.025897,-0.023547,-0.009833,-0.011356,0.027834,0.003884
20150107,0.014022,0.012705,0.010133,0.0106,0.022076,0.001526,0.000415,0.005951,0,-0.001713,-0.012798,-0.002941,0.005246,0.012461,0.004745,-0.000833,-0.01807,0.026532,0.013893,0.013686,0.013893,0.012482,0.020975,0.00927,0.014557,0.01023,-0.000905,0.034274,0.021386,-0.006536,0.000232,0.01021,0.009242,0.029241,0.013398,0.007522,0.018375,-0.000122,0.0136,0.034925,0.007249,0.040417,0.017424,-0.000151,0.024993,0.012996,0.011663,0.015526,0.014903,0.01874,-0.00334,0.012371,0.01085,0.036558,0.025572,0.007238,0.008802,0.005524,0.018041,-0.007028,0.024612,0.016078,0.014278,0.009306,0.039425,0.003071,0.010571,0.012898,0.017961,0.02099,-0.009621,0.013549,0.017413,0.027013,0.011932,0.031398,0.020656,0.018842,0.002422,0.004795,-0.00161,0.020031,0.006674,0.029745,0.055551,0.021163,0.01425,0.017063,0.011115,0.013259,-0.006294,0.007963,-0.002866,0.011544,0.012801,0.012495,0.008108,0.018402,0.009154
20150108,0.038422,0.029418,0.016645,0.006836,0.007863,0.022346,0.012043,0.022137,0.026592,0.003153,0.009949,0.003484,0.011436,0.017745,0.020661,0.022883,0.021433,0.021106,0.016725,0.020408,0.016725,0.012096,0.018601,0.015048,0.031621,0.010341,0.021747,0.022124,0.020127,0.021735,0.006025,0.047733,0.007692,0.018174,0.013413,0.015053,0.01684,0.012116,0.015554,-0.003602,0.023967,0.010459,0.003723,0.005586,0.023973,0.024983,0.010511,0.017682,0.015965,0.028347,0.005139,0.017864,0.017032,0.004365,0.012402,0.018219,0.007348,0.037483,0.021266,0.023689,0.016137,0.016289,0.014889,0.017979,0.014063,0.039225,0.027895,0.022533,0.016316,0.015249,0.012416,0.021232,0.008592,0.049975,0.01764,0.012662,0.023084,0.014175,0.007435,-0.004405,0.024885,0.030701,0.024941,0.021114,-0.008464,0.011679,0.01617,-0.002397,0.013529,0.015234,0.038241,0.013606,0.037889,0.019251,0.012346,0.017568,0.020554,-0.001437,0.006078
20150109,0.001073,-0.008405,-0.00141,-0.011749,-0.013629,-0.017387,-0.013952,-0.01643,-0.005565,-0.012951,-0.002985,-0.012211,-0.00933,-0.008014,-0.01793,-0.019926,-0.008902,-0.01238,-0.008845,0.004615,-0.008845,-0.011032,0.001908,-0.022333,-0.008062,0.004905,-0.001596,-0.017148,-0.004614,0.004356,-0.000461,-0.00936,0.010178,-0.006771,-0.014823,-0.002653,-0.002366,-0.017896,-0.012744,-0.012304,-0.012284,-0.027355,-0.012187,-0.019967,-0.004682,-0.006588,-0.001141,-0.001973,-0.015347,-0.00088,-0.015337,-0.008438,-0.005495,-0.011995,-0.024242,-0.0166,-0.020743,-0.017936,-0.00051,-0.013264,-0.032731,-0.00809,-0.016271,-0.007336,-0.001041,-0.005892,-0.014972,-0.000564,0.00056,-0.001113,-0.028527,-0.01001,-0.015389,0.010646,-0.00829,-0.009843,-0.011024,-0.012667,-0.020664,-0.016962,-0.001574,-0.01382,-0.000154,-0.018811,-0.022584,-0.011856,-0.00705,-0.006607,-0.004839,-0.018469,0.006676,-0.009815,0.004028,-0.018661,-0.003484,-0.008421,-0.010508,0.010539,-0.00883
20150112,-0.024641,-0.012503,-0.019218,-0.01859,-0.003431,-0.008595,-0.002081,-0.011959,-0.013121,-0.007296,0.002695,-0.007309,-0.003657,-0.007834,-0.017668,-0.021532,0.006844,0.007499,-0.007961,0.003675,-0.007961,-0.009063,-0.004353,-0.007877,0.013307,0.002228,-0.002132,-0.004481,-0.004156,-0.016781,-0.002766,-0.01128,0.009356,-0.004131,-0.001958,0.003989,0.006324,-0.03903,-0.01279,0.003147,-0.005445,-0.000304,-0.002146,-0.01731,0.000941,0.030836,-0.011422,-0.005093,-0.01217,-0.009784,-0.018284,-0.007586,0.003771,0.029295,0.000396,-0.004852,-0.009311,-0.008784,-0.007353,-0.007293,0.005515,0.010157,-0.013829,0.000365,0.019406,0.011545,-0.0019,-0.00282,-0.008955,-0.003007,-0.011388,0.015038,-0.005582,-0.01654,-0.007125,-0.009404,-0.001354,-0.010175,-0.024115,-0.018004,-0.005854,0.012381,-0.028497,-0.007025,0.016066,-0.006586,-0.009921,-0.009674,-0.002347,-0.011564,-0.03373,-0.004956,-0.012538,-0.00703,-0.047494,-0.007424,0.008407,0.000967,-0.002532
20150113,0.008879,-0.005257,-0.003653,0.011427,0.001721,0.00017,-0.005004,-0.003842,-0.003519,0.00737,0,0.009536,0.004226,-0.002813,-0.013789,-0.015867,0.002124,-0.007887,0.002588,-0.01007,0.002588,-0.000234,-0.002732,-0.007146,0.00379,0.007728,0.011928,-0.006608,-0.001766,0.002365,-0.007858,0.005071,0.001604,-0.000726,0.002923,0.000602,0.007855,-0.003459,0.002279,-0.006913,-0.000747,-0.03604,-0.001935,-0.000312,-0.022559,0.015117,-0.008155,0.002292,-0.000757,-0.039522,-0.00184,-0.002597,-0.000961,0.02547,-0.005812,0.00711,-0.010808,-0.018777,0.000412,-0.000576,0.007977,0.007617,-0.009348,0.004287,-0.004509,0.003357,0.013206,-0.000617,-0.006212,0.003575,-0.002077,0.002299,-0.010034,-0.005622,-0.002296,-0.006645,-0.008867,-0.003017,-0.000386,-0.009358,-0.012231,-0.017068,-0.009989,0.000147,0.014087,0.003027,0.004421,0.012821,0.005042,-0.012294,0.006508,0.006885,-0.001778,-0.019034,-0.025696,-0.002637,-0.021281,0.000661,0.003948
20150114,-0.003811,-0.008629,-0.002889,-0.004987,-0.007255,-0.0345,-0.003353,-0.011572,-0.002224,0.009452,-0.004778,0.00823,-0.003433,-0.006037,-0.024924,-0.002879,-0.004451,-0.030232,-0.005031,0.001233,-0.005031,-0.001642,-0.00411,-0.019392,-0.003161,-0.010085,-0.017945,-0.010508,0.007236,-0.006441,0.003028,0.002523,-0.006229,0.003321,-0.020017,0.003851,0.007989,0.007843,-0.001077,0.000129,-0.004856,0.00489,-0.013896,-0.012475,-0.014013,-0.002693,-0.010278,-0.006023,-0.025415,0.021088,-0.024649,-0.006042,-0.007172,0.009335,-0.003588,-0.004639,-0.018052,-0.004203,0.000926,0.005477,-0.005565,0.006501,-0.022759,-0.006721,-0.007594,-0.038139,-0.032527,-0.005763,-0.001515,-0.011689,-0.002072,0.008919,-0.012616,0.007896,-0.005466,-0.002184,-0.013683,-0.024207,-0.002124,-0.009447,-0.004128,-0.002598,0.002883,-0.006926,-0.011311,-0.006408,-0.010172,-0.006631,-0.002843,-0.017466,0.031507,-0.004074,0.004325,-0.017984,0.018838,-0.005881,-0.007397,0.008837,0.00618
20150115,-0.02714,-0.010336,-0.008692,-0.02155,-0.014519,-0.032037,-0.00841,-0.010341,-0.029234,0.001837,-0.0021,-0.003795,-0.001445,-0.009161,-0.052369,-0.011838,0.002768,0.00889,-0.001624,-0.002463,-0.001624,-0.004229,-0.004402,-0.037105,0.006254,0.001273,0.003225,-0.015881,-0.012133,-0.007895,-0.009986,0.010936,-0.018266,0,-0.009509,-0.007193,0.014305,-0.022452,-0.014498,-0.020882,-0.001126,-0.012716,-0.001748,-0.008527,0.001811,-0.020969,-0.011631,-0.001841,-0.009654,-0.018739,-0.014643,-0.009391,0,-0.023369,-0.0028,-0.01601,-0.009676,-0.005029,-0.001644,-0.000287,-0.010445,0.009914,-0.017893,-0.000731,-0.00567,0.014924,0.000364,-0.004451,-0.006166,-0.006871,-0.036131,0.011114,0,-0.020021,-0.010124,-0.000137,-0.009604,-0.013667,-0.007741,-0.019074,-0.002763,0.002742,-0.019323,-0.015433,-0.025434,-0.009544,0.000198,0.003034,0.006373,-0.019616,-0.013791,-0.001899,-0.007092,-0.006988,0.013559,-0.009335,-0.007453,0.00725,-0.003816
